instance,maxRuntime,variableSelection,valueSelection,restarts,solutionsOverTime,isOptimal,runtime,nodes,fails,restarts,args
c Unexpected resolution interruption!data/xcsp/cop23/Benzenoide-14_c23.xml.lzma,1800,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=true),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,0.000,0,0,0,-f -varh DOMWDEG -last -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h30m00s data/xcsp/cop23/Benzenoide-14_c23.xml.lzma
c Unexpected resolution interruption!data/xcsp/cop23/Benzenoide-15_c23.xml.lzma,1800,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=true),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,0.000,0,0,0,-f -varh DOMWDEG -last -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h30m00s data/xcsp/cop23/Benzenoide-15_c23.xml.lzma
c Unexpected resolution interruption!data/xcsp/cop23/CarpetCutting-test01_c23.xml.lzma,1800,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=true),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),(obj:821;t:0.296;nodes:735;fails:709;restarts:0)(obj:759;t:0.299;nodes:744;fails:716;restarts:0)(obj:705;t:0.311;nodes:754;fails:726;restarts:0)(obj:703;t:0.449;nodes:1192;fails:1162;restarts:0)(obj:694;t:4.575;nodes:25143;fails:25110;restarts:0)(obj:692;t:4.656;nodes:25296;fails:25263;restarts:0)(obj:685;t:6.176;nodes:39713;fails:39679;restarts:0)(obj:676;t:6.177;nodes:39722;fails:39687;restarts:0)(obj:675;t:6.181;nodes:39736;fails:39700;restarts:0)(obj:674;t:6.181;nodes:39744;fails:39706;restarts:0)(obj:673;t:6.182;nodes:39752;fails:39712;restarts:0)(obj:672;t:6.183;nodes:39760;fails:39718;restarts:0)(obj:671;t:6.183;nodes:39768;fails:39724;restarts:0)(obj:670;t:6.184;nodes:39776;fails:39730;restarts:0)(obj:669;t:6.184;nodes:39784;fails:39736;restarts:0)(obj:668;t:6.185;nodes:39792;fails:39742;restarts:0)(obj:667;t:6.185;nodes:39800;fails:39748;restarts:0)(obj:666;t:6.186;nodes:39808;fails:39754;restarts:0)(obj:665;t:6.186;nodes:39816;fails:39760;restarts:0)(obj:664;t:6.186;nodes:39824;fails:39766;restarts:0)(obj:663;t:6.187;nodes:39832;fails:39772;restarts:0)(obj:662;t:6.187;nodes:39840;fails:39778;restarts:0)(obj:661;t:6.188;nodes:39848;fails:39784;restarts:0)(obj:660;t:6.188;nodes:39856;fails:39790;restarts:0)(obj:659;t:6.189;nodes:39864;fails:39796;restarts:0)(obj:658;t:6.189;nodes:39872;fails:39802;restarts:0)(obj:657;t:6.189;nodes:39880;fails:39808;restarts:0)(obj:656;t:6.190;nodes:39888;fails:39814;restarts:0)(obj:655;t:6.190;nodes:39896;fails:39820;restarts:0)(obj:654;t:6.191;nodes:39904;fails:39826;restarts:0)(obj:653;t:6.191;nodes:39912;fails:39832;restarts:0)(obj:652;t:6.192;nodes:39920;fails:39838;restarts:0)(obj:651;t:6.192;nodes:39928;fails:39844;restarts:0)(obj:650;t:6.192;nodes:39936;fails:39850;restarts:0)(obj:649;t:6.193;nodes:39944;fails:39856;restarts:0)(obj:648;t:6.193;nodes:39952;fails:39862;restarts:0)(obj:647;t:6.194;nodes:39960;fails:39868;restarts:0)(obj:646;t:6.194;nodes:39968;fails:39874;restarts:0)(obj:645;t:6.195;nodes:39976;fails:39880;restarts:0)(obj:644;t:6.195;nodes:39984;fails:39886;restarts:0)(obj:643;t:6.196;nodes:39992;fails:39892;restarts:0)(obj:642;t:6.196;nodes:40000;fails:39898;restarts:0)(obj:641;t:6.196;nodes:40008;fails:39904;restarts:0)(obj:640;t:6.197;nodes:40016;fails:39910;restarts:0)(obj:639;t:6.197;nodes:40024;fails:39916;restarts:0)(obj:638;t:6.197;nodes:40032;fails:39922;restarts:0)(obj:637;t:6.198;nodes:40040;fails:39928;restarts:0)(obj:636;t:6.198;nodes:40046;fails:39934;restarts:0)(obj:635;t:6.199;nodes:40057;fails:39941;restarts:0)(obj:634;t:6.200;nodes:40063;fails:39948;restarts:0)(obj:622;t:6.203;nodes:40079;fails:39956;restarts:0)(obj:621;t:6.204;nodes:40086;fails:39966;restarts:0),true,7.350,50804,50701,0,-f -varh DOMWDEG -last -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h30m00s data/xcsp/cop23/CarpetCutting-test01_c23.xml.lzma
data/xcsp/cop23/CarpetCutting-test02_c23.xml.lzma,1800,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=true),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),(obj:1002;t:0.057;nodes:25;fails:0;restarts:0)(obj:936;t:0.065;nodes:38;fails:11;restarts:0)(obj:935;t:0.073;nodes:48;fails:24;restarts:0)(obj:934;t:21.255;nodes:204965;fails:204940;restarts:0)(obj:933;t:21.257;nodes:204981;fails:204953;restarts:0)(obj:932;t:21.258;nodes:204996;fails:204967;restarts:0)(obj:931;t:21.260;nodes:205011;fails:204980;restarts:0)(obj:930;t:21.262;nodes:205026;fails:204993;restarts:0)(obj:929;t:21.264;nodes:205041;fails:205006;restarts:0)(obj:928;t:21.266;nodes:205056;fails:205019;restarts:0)(obj:927;t:21.268;nodes:205075;fails:205034;restarts:0)(obj:926;t:21.269;nodes:205092;fails:205049;restarts:0)(obj:925;t:21.270;nodes:205109;fails:205064;restarts:0)(obj:924;t:21.271;nodes:205126;fails:205079;restarts:0)(obj:923;t:21.273;nodes:205143;fails:205094;restarts:0)(obj:922;t:21.274;nodes:205158;fails:205109;restarts:0)(obj:921;t:21.277;nodes:205176;fails:205124;restarts:0)(obj:920;t:21.278;nodes:205193;fails:205138;restarts:0)(obj:919;t:21.279;nodes:205208;fails:205153;restarts:0),true,37.168,493320,493283,0,-f -varh DOMWDEG -last -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h30m00s data/xcsp/cop23/CarpetCutting-test02_c23.xml.lzma
data/xcsp/cop23/AircraftAssemblyLine-2-178-70-0_c23.xml.lzma,1800,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=true),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,1800.006,3005273,3005041,0,-f -varh DOMWDEG -last -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h30m00s data/xcsp/cop23/AircraftAssemblyLine-2-178-70-0_c23.xml.lzma
data/xcsp/cop23/Benzenoide-06_c23.xml.lzma,1800,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=true),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),(obj:102;t:287.232;nodes:4203;fails:4174;restarts:0)(obj:100;t:314.159;nodes:5383;fails:5346;restarts:0)(obj:98;t:314.570;nodes:5444;fails:5406;restarts:0)(obj:86;t:314.571;nodes:5447;fails:5407;restarts:0)(obj:75;t:317.891;nodes:5709;fails:5665;restarts:0)(obj:64;t:1392.237;nodes:329745;fails:329700;restarts:0),false,1800.007,430412,430359,0,-f -varh DOMWDEG -last -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h30m00s data/xcsp/cop23/Benzenoide-06_c23.xml.lzma
data/xcsp/cop23/AircraftAssemblyLine-2-178-50-1_c23.xml.lzma,1800,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=true),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,1800.008,216353,216107,0,-f -varh DOMWDEG -last -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h30m00s data/xcsp/cop23/AircraftAssemblyLine-2-178-50-1_c23.xml.lzma
data/xcsp/cop23/AircraftAssemblyLine-2-178-70-1_c23.xml.lzma,1800,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=true),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,1800.211,824021,823797,0,-f -varh DOMWDEG -last -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h30m00s data/xcsp/cop23/AircraftAssemblyLine-2-178-70-1_c23.xml.lzma
data/xcsp/cop23/AircraftAssemblyLine-2-178-50-2_c23.xml.lzma,1800,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=true),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),,false,1800.004,3759410,3759197,0,-f -varh DOMWDEG -last -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h30m00s data/xcsp/cop23/AircraftAssemblyLine-2-178-50-2_c23.xml.lzma
data/xcsp/cop23/AircraftAssemblyLine-2-178-70-2_c23.xml.lzma,1800,(varsel=DOMWDEG;flushRate=2147483647),(valsel=MIN;best=Best;bestFreq=1;last=true),(pol=NONE;cutoff=0;offset=0;geo=1.0;resetOnSolution=false),(obj:19;t:1007.785;nodes:1518673;fails:1518456;restarts:0),false,1800.006,4286464,4286321,0,-f -varh DOMWDEG -last -lc 1 -best Best -bestRate 1 -restarts NONE;0;1.0;0;false -limit 00h30m00s data/xcsp/cop23/AircraftAssemblyLine-2-178-70-2_c23.xml.lzma
